Fund Name,Category,Subcategory,Plan,isin,scheme_code,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),ytm_score,duration_score,maturity_score,credit_score,total_score,fund_rating,Top Holdings Count,Fund URL
ICICI Pru Gilt Dir,debt,Gilt,Direct,INF109K018C5,120590,4,7.49,6.85,Debt: Gilt,2.48,6.43,5.85,7.71,9.72,GOI/Cash,21.6,8,2,1,10,21,Average,25,https://www.valueresearchonline.com/funds/15953/
ICICI Pru Nifty 5 yr Benchmark G-SEC ETF,debt,Gilt,Direct,INF109KC14A8,149928,4.8,7.58,,Debt: Gilt,2.21,5.99,,6.92,4.02,GOI/Cash,4.67,5,5,6,10,26,Average,1,https://www.valueresearchonline.com/funds/42160/
Invesco India Gilt Dir,debt,Gilt,Direct,INF205K01SN0,120520,2.22,6.64,5.78,Debt: Gilt,2.48,6.43,5.85,7.58,10.84,GOI/Cash,27.46,8,1,1,10,20,Average,3,https://www.valueresearchonline.com/funds/16750/
JioBlackRock Nifty 8-13 yr G-Sec Index Dir,debt,Gilt,Direct,INF22M001069,153791,,,,Debt: Gilt,,,,6.97,7,GOI/Cash,9.3,6,3,4,10,23,Average,3,https://www.valueresearchonline.com/funds/45426/
Kotak Gilt Investment Dir,debt,Gilt,Direct,INF174K01KE4,119759,1.55,5.94,5.75,Debt: Gilt,2.48,6.43,5.85,7.37,6.97,GOI/Cash,13.11,7,3,3,10,23,Average,25,https://www.valueresearchonline.com/funds/16354/
Kotak Gilt Investment PF & Trust Dir,debt,Gilt,Direct,INF174K01KM7,119757,1.55,5.94,5.76,Debt: Gilt,2.48,6.43,5.85,7.37,6.97,GOI/Cash,13.11,7,3,3,10,23,Average,25,https://www.valueresearchonline.com/funds/17766/
LIC MF Gilt Dir,debt,Gilt,Direct,INF767K01EZ3,120282,1.08,5.45,4.92,Debt: Gilt,2.48,6.43,5.85,7.42,10.23,GOI/Cash,25.16,8,1,1,10,20,Average,6,https://www.valueresearchonline.com/funds/16777/
LIC MF Nifty 8-13 yr G-Sec ETF,debt,Gilt,Direct,INF767K01MV5,133307,2.5,6.92,5.58,Debt: Gilt,2.21,5.99,5.19,7.08,7.02,GOI/Cash,9.1,6,3,4,10,23,Average,3,https://www.valueresearchonline.com/funds/29111/
Mirae Asset Nifty 8-13 yr G-Sec ETF,debt,Gilt,Direct,INF769K01QM1,154216,2.93,7.08,,Debt: Gilt,2.21,5.99,,7.03,6.83,GOI/Cash,8.68,6,3,4,10,23,Average,3,https://www.valueresearchonline.com/funds/43473/
Motilal Oswal 5 Year G-Sec FoF Dir,debt,Gilt,Direct,INF247L01AQ1,149240,4.7,7.18,,Debt: Gilt,2.48,6.43,,,,GOI/Cash,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/41759/
Motilal Oswal Nifty 5Y Benchmark G-Sec ETF,debt,Gilt,Direct,INF247L01AK4,148620,4.63,7.32,5.99,Debt: Gilt,2.21,5.99,5.19,6.76,4.23,GOI/Cash,4.81,5,4,6,10,25,Average,1,https://www.valueresearchonline.com/funds/41212/
Nippon India ETF Nifty 5Y Benchmark G-Sec,debt,Gilt,Direct,INF204KC1030,148800,4.95,7.65,6.26,Debt: Gilt,2.21,5.99,5.19,6.92,4.01,GOI/Cash,4.65,5,4,6,10,25,Average,3,https://www.valueresearchonline.com/funds/41391/
Nippon India ETF Nifty 8-13 yr G-Sec LT Gilt,debt,Gilt,Direct,INF204KB1882,139496,2.53,6.96,5.55,Debt: Gilt,2.21,5.99,5.19,7.08,6.93,GOI/Cash,9.19,6,3,4,10,23,Average,4,https://www.valueresearchonline.com/funds/32557/
Nippon India Gilt Dir,debt,Gilt,Direct,INF204K01XP8,118672,2.49,6.34,5.81,Debt: Gilt,2.48,6.43,5.85,7.45,8.99,GOI/Cash,21.29,7,2,1,10,20,Average,25,https://www.valueresearchonline.com/funds/16078/
PGIM India Gilt Dir,debt,Gilt,Direct,INF223J01ND7,138472,1.55,6.43,5.78,Debt: Gilt,2.48,6.43,5.85,7,7.42,GOI/Cash,15.42,6,2,2,10,20,Average,17,https://www.valueresearchonline.com/funds/15595/
Quant Gilt Dir,debt,Gilt,Direct,INF966L01BF7,151228,2.66,6.08,,Debt: Gilt,2.48,6.43,,7.13,6.1,GOI/Cash,10.81,5,3,3,10,21,Average,13,https://www.valueresearchonline.com/funds/42968/
SBI Gilt Dir,debt,Gilt,Direct,INF200K01SH3,119707,2.99,6.62,6.37,Debt: Gilt,2.48,6.43,5.85,6.89,6.13,GOI/Cash,10.14,2,6,5,10,23,Average,18,https://www.valueresearchonline.com/funds/17166/
Tata GSF Dir,debt,Gilt,Direct,,128301,1.84,6.47,6.03,Debt: Gilt,2.48,6.43,5.85,7.69,10.84,GOI/Cash,27.29,8,1,1,10,20,Average,10,https://www.valueresearchonline.com/funds/17531/
UTI Gilt Dir,debt,Gilt,Direct,INF789F01TL5,120792,4.29,6.88,5.95,Debt: Gilt,2.48,6.43,5.85,6.4,3.32,GOI/Cash,7.97,2,5,4,10,21,Average,10,https://www.valueresearchonline.com/funds/17050/
UTI Nifty 5 yr Benchmark G-Sec ETF,debt,Gilt,Direct,INF789F1AZE6,152368,4.8,,,Debt: Gilt,2.21,,,,,GOI/Cash,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/44081/
Union Gilt Dir,debt,Gilt,Direct,INF582M01HW2,150407,0.23,5.26,,Debt: Gilt,2.48,6.43,,7.62,11.71,GOI/Cash,32.16,8,1,1,10,20,Average,2,https://www.valueresearchonline.com/funds/42326/
Zerodha Nifty 8-13 Yr G-Sec ETF,debt,Gilt,Direct,INF0R8F01133,153811,,,,Debt: Gilt,,,,,,GOI/Cash,,,,,,,N/A,3,https://www.valueresearchonline.com/funds/45448/
ABSL CRISIL 10 Year Gilt ETF,debt,Gilt with 10 year,Direct,INF209KC1142,152802,1.95,,,Debt: Gilt with 10 year Constant Duration,2.29,,,7.07,6.81,GOI/Cash,9.05,6,3,4,10,23,Average,1,https://www.valueresearchonline.com/funds/44486/
Bandhan Gilt Fund with 10 year Constant Duration Dir,debt,Gilt with 10 year,Direct,INF194K01P38,118387,4.27,7.61,6.07,Debt: Gilt with 10 year Constant Duration,3.1,7.06,5.76,7.6,11.38,GOI/Cash,,6,2,3,10,21,Average,5,https://www.valueresearchonline.com/funds/16728/
