Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Duration Score (3),Maturity Score (3),YTM Score (3),Credit Score (3),Debt Quality (12),Std Dev Score (3),Sharpe Score (3),Sortino Score (3),Mean Return Score (3),Risk & Return (12),Num Stocks Score (2.5),Top10 Score (2.5),Top5 Score (2.5),Top3 Sectors Score (2.5),Diversification (10),PE Score (2),PB Score (2),Valuation (4),Num Securities Score (2),Portfolio Breadth (2),Total Score (40),Risk Category,Fund Rating
Bandhan Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,3.12,7.31,6.3,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.24,4.32,6.9,7.61,2.85,AAA,4.81,10,https://www.valueresearchonline.com/funds/16525/,INF194K015B9,118491,2,2,2,3,9,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,21,Moderate Risk,Average
Bandhan Conservative Hybrid Passive FoF Dir,hybrid,Conservative Hybrid,Direct,4.24,8.31,7.39,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.54,3.83,7.94,,,GOI/Cash,,1,https://www.valueresearchonline.com/funds/17859/,INF194K016A9,118486,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,18,Moderately High Risk,Average
Bank of India Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,3.55,7.55,10.56,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.36,4.2,7.36,7.1,2.38,AAA,2.84,25,https://www.valueresearchonline.com/funds/17549/,INF761K01819,119393,2,2,2,3,9,1,1,1,1,4,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,22,Moderate Risk,Average
Baroda BNP Paribas Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,5.22,9.17,8.19,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.72,4.11,8.81,7.78,2.46,AAA,3.7,25,https://www.valueresearchonline.com/funds/15728/,INF251K01HR8,150206,2,2,2,3,9,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
Canara Robeco Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,2.99,8.25,7.69,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,1.1,0.43,4.23,7.69,7.35,1.79,AAA,2.93,25,https://www.valueresearchonline.com/funds/15770/,INF760K01GB4,118309,2,2,2,3,9,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
DSP Regular Savings Dir,hybrid,Conservative Hybrid,Direct,4.01,9.49,8.14,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.83,3.93,9.12,6.86,2.8,AAA,4.6,25,https://www.valueresearchonline.com/funds/16984/,INF740K01NO5,118994,2,2,1,3,8,2,2,2,2,8,1,1,1,1,4,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
Franklin India Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,1.99,8.61,7.68,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.57,4.29,8.29,7.4,1.66,AAA,2.1,25,https://www.valueresearchonline.com/funds/17832/,INF090I01GF1,118574,2,2,2,3,9,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1.5,1.5,21.5,Moderate Risk,Average
HDFC Hybrid Debt Dir,hybrid,Conservative Hybrid,Direct,2.37,8.62,8.77,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,1.24,0.5,4.55,8.13,7.76,6.08,AAA,11.76,25,https://www.valueresearchonline.com/funds/16453/,INF179K01XE6,119118,1,1,2,3,7,1,1,1,1,4,1,2.5,1,1,5.5,2,2,4,1.5,1.5,22,Moderate Risk,Average
HDFC Retirement Savings Hybrid Debt Dir,hybrid,Conservative Hybrid,Direct,1.98,7.73,7.7,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.34,4.3,7.33,6.9,4.91,GOI/Cash,7.83,25,https://www.valueresearchonline.com/funds/31784/,INF179KB1MJ2,136465,1,2,2,3,8,1,1,1,1,4,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,21,Moderate Risk,Average
HSBC Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,5.02,10.05,8.56,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.67,5.29,9.4,7.23,3.95,AAA,6.04,24,https://www.valueresearchonline.com/funds/17058/,INF336L01DW4,120073,1,2,2,3,8,1,1,1,1,4,1,1,1,1,4,1,1,2,1.5,1.5,19.5,Moderately High Risk,Average
ICICI Pru Regular Savings Dir,hybrid,Conservative Hybrid,Direct,5.37,10.05,9.34,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,0.94,1.06,3.51,9.6,8.56,2.85,AAA,5.11,25,https://www.valueresearchonline.com/funds/15851/,INF109K01S39,120616,2,2,3,3,10,3,2,2,2,9,1,2.5,1,1,5.5,1.5,1.5,3,1.5,1.5,29,Low Risk,Good
ICICI Pru Retirement Hybrid Conservative Dir,hybrid,Conservative Hybrid,Direct,7.26,11.23,9.25,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,1.1,1.13,4.52,10.97,7.41,4.65,AAA,9.24,25,https://www.valueresearchonline.com/funds/39063/,INF109KC1UA8,146716,2,1,2,3,8,1,1,1,1,4,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,21,Moderate Risk,Average
Kotak Debt Hybrid Dir,hybrid,Conservative Hybrid,Direct,3.1,9.6,9.49,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.6,5.29,9.03,7.61,3.71,AAA,7.31,25,https://www.valueresearchonline.com/funds/17795/,INF174K01JZ1,120154,1,1,2,3,7,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,20.5,Moderate Risk,Average
LIC MF Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,2.64,6.84,6.28,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.09,3.8,6.2,6.97,3.69,AAA,4.28,10,https://www.valueresearchonline.com/funds/17456/,INF767K01EO7,120276,2,2,1,3,8,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,20,Moderate Risk,Average
Nippon India Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,7.33,8.85,8.65,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,1.11,2.23,8.34,9.38,2.15,AA,2.46,25,https://www.valueresearchonline.com/funds/16144/,INF204K01YV4,118726,2,2,3,2,9,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
Nippon India Conservative Hybrid Seg Port 2 Direct,hybrid,Conservative Hybrid,Direct,,,,,,,,,,,,,,,,,0,https://www.valueresearchonline.com/funds/40873/,INF204KB14O0,148296,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
Nippon India Conservative Hybrid Seg Port1 Dir,hybrid,Conservative Hybrid,Direct,,,,,,,,,,,,,,,B,,0,https://www.valueresearchonline.com/funds/40704/,INF204KB12K2,148143,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
Nippon India Retirement Incm Generation Dir,hybrid,Conservative Hybrid,Direct,0.96,7.36,6.98,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.17,5.03,6.71,7.39,8.93,GOI/Cash,16.36,22,https://www.valueresearchonline.com/funds/29298/,INF204KA1C30,133569,1,1,2,3,7,2,1,1,2,6,1,1,1,1,4,1.5,1.5,3,1,1,21,Moderate Risk,Average
Parag Parikh Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,5.03,10.81,9.77,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,1.14,3.54,9.89,7.6,4,AAA,4.86,10,https://www.valueresearchonline.com/funds/41484/,INF879O01175,148958,2,2,2,3,9,1,1,1,1,4,1,2,1,1,5,2,2,4,1.5,1.5,23.5,Moderate Risk,Average
SBI Children's Savings Plan Dir,hybrid,Conservative Hybrid,Direct,6.69,12.07,11.37,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,1.14,4.84,11.38,7.06,3.38,AAA,4.67,18,https://www.valueresearchonline.com/funds/17524/,INF200K01QR6,119719,2,2,2,3,9,2,2,2,2,8,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,26,Moderate Risk,Average
SBI Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,5.81,9.42,9.43,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.79,4.07,9.1,8.21,2.55,AAA,3.49,25,https://www.valueresearchonline.com/funds/17516/,INF200K01TS8,119839,2,2,2,3,9,1,1,1,1,4,1,2.5,1,1,5.5,1.5,1.5,3,1.5,1.5,23,Moderate Risk,Average
SBI Retirement Benefit Conservative Dir,hybrid,Conservative Hybrid,Direct,1.71,7.13,7.43,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.16,4.63,6.62,7.51,8.1,AAA,20.38,25,https://www.valueresearchonline.com/funds/41283/,INF200KA1T39,148688,1,1,2,3,7,2,1,1,2,6,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,22,Moderate Risk,Average
SBI Retirement Benefit Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,1.55,7.9,8.87,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.25,6.86,7.6,7.18,6.18,AAA,15.7,25,https://www.valueresearchonline.com/funds/41279/,INF200KA1T70,148690,1,1,2,3,7,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,20.5,Moderate Risk,Average
Sundaram Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,0.08,6.04,7.29,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,-0.01,4.18,5.82,5.87,1.37,GOI/Cash,1.59,22,https://www.valueresearchonline.com/funds/17227/,INF789F01UJ7,119156,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,18,Moderately High Risk,Average
Tata Retirement Savings Conservative Dir,hybrid,Conservative Hybrid,Direct,3.95,8.74,7.41,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,,0.48,5.37,8.43,7.17,5.07,AAA,9.04,25,https://www.valueresearchonline.com/funds/17019/,INF277K01QM5,119256,2,1,2,3,8,2,1,1,2,6,1,1,1,1,4,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
UTI Cons Hybrid Seg Port Dir,hybrid,Conservative Hybrid,Direct,,,,,,,,,,,,,,,B,0.07,0,https://www.valueresearchonline.com/funds/40729/,INF789F01UJ7,120779,1,3,1,1,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
UTI Conservative Hybrid Dir,hybrid,Conservative Hybrid,Direct,2.18,8.76,8.74,Hybrid: Conservative Hybrid,3.68,8.73,8.28,,1.36,0.49,4.74,8.18,7.91,5.53,AAA,10.04,25,https://www.valueresearchonline.com/funds/15804/,INF789F01UJ7,120779,1,1,2,3,7,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,20.5,Moderate Risk,Average
ABSL Conservative Hybrid Active FoF Reg*,hybrid,Conservative Hybrid,Regular,3.57,10.08,8.92,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.74,5.12,9.64,,,AAA,,6,https://www.valueresearchonline.com/funds/12657/,INF084M01044,132178,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,18,Moderately High Risk,Average
ABSL Regular Savings Reg,hybrid,Conservative Hybrid,Regular,4.65,8.32,7.92,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.57,3.64,7.94,8.32,3.44,AAA,5.08,25,https://www.valueresearchonline.com/funds/2234/,INF209K01LZ1,101317,2,2,2,3,9,3,2,2,2,9,1,2.5,1,1,5.5,1.5,1.5,3,1.5,1.5,28,Low Risk,Good
ABSL Retirement 50s Reg,hybrid,Conservative Hybrid,Regular,4.26,7.74,5.82,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.37,4.28,7.47,6.33,2.59,GOI/Cash,3.35,25,https://www.valueresearchonline.com/funds/39187/,INF209KB1J14,146938,2,2,1,3,8,2,2,2,2,8,1,1,1,1,4,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
Axis Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,1.28,5.95,5.62,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,1.19,-0.04,4.17,5.68,7.46,4.56,AAA,6.3,25,https://www.valueresearchonline.com/funds/11200/,INF846K01693,112924,2,2,2,3,9,1,1,1,1,4,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,22,Moderate Risk,Average
Axis Retirement-Conservative Plan Reg,hybrid,Conservative Hybrid,Regular,0.07,7.51,5.84,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.2,6.79,7.23,7.3,8.37,GOI/Cash,16.69,25,https://www.valueresearchonline.com/funds/40435/,INF846K01T85,147832,1,1,2,3,7,2,1,1,2,6,1,1,1,1,4,1.5,1.5,3,1.5,1.5,21.5,Moderate Risk,Average
Bandhan Conservative Hybrid Passive FoF Reg,hybrid,Conservative Hybrid,Regular,3.85,7.79,6.8,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.41,3.81,7.44,,,GOI/Cash,,1,https://www.valueresearchonline.com/funds/10844/,INF194K01987,112327,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,18,Moderately High Risk,Average
Bandhan Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,2.12,6.3,5.3,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.02,4.32,5.94,7.61,2.85,AAA,4.81,10,https://www.valueresearchonline.com/funds/10841/,INF194K01RW9,112353,2,2,2,3,9,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,21,Moderate Risk,Average
Bank of India Conservative Hybrid Eco,hybrid,Conservative Hybrid,Regular,2.98,7.07,10.09,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.25,4.21,6.92,7.1,2.38,AAA,2.84,25,https://www.valueresearchonline.com/funds/10202/,INF761K01397,111715,,,,,,,,,,,,,,,,,,,,,,,
Bank of India Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,2.64,6.66,9.8,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.16,4.21,6.54,7.1,2.38,AAA,2.84,25,https://www.valueresearchonline.com/funds/10198/,INF761K01462,111712,2,2,2,3,9,1,1,1,1,4,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,22,Moderate Risk,Average
Baroda BNP Paribas Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,3.66,7.51,6.54,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.34,4.11,7.28,7.78,2.46,AAA,3.7,25,https://www.valueresearchonline.com/funds/2345/,INF251K01845,150203,2,2,2,3,9,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
Canara Robeco Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,1.82,7,6.42,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,1.1,0.16,4.22,6.52,7.35,1.79,AAA,2.93,25,https://www.valueresearchonline.com/funds/976/,INF760K01282,100601,2,2,2,3,9,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
DSP Regular Savings Reg,hybrid,Conservative Hybrid,Regular,3.29,8.78,7.34,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.66,3.93,8.47,6.86,2.8,AAA,4.6,25,https://www.valueresearchonline.com/funds/2227/,INF740K01714,100087,2,2,1,3,8,2,2,2,2,8,1,1,1,1,4,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
Franklin India Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,1.33,7.86,6.89,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.4,4.28,7.59,7.4,1.66,AAA,2.1,25,https://www.valueresearchonline.com/funds/860/,INF761K01462,111712,2,2,2,3,9,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1.5,1.5,21.5,Moderate Risk,Average
HDFC Hybrid Debt Reg,hybrid,Conservative Hybrid,Regular,1.8,8.03,8.21,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,1.24,0.38,4.55,7.58,7.76,6.08,AAA,11.76,25,https://www.valueresearchonline.com/funds/1930/,INF209K01LV0,108273,1,1,2,3,7,1,1,1,1,4,1,2.5,1,1,5.5,2,2,4,1.5,1.5,22,Moderate Risk,Average
HDFC Retirement Savings Hybrid Debt Reg,hybrid,Conservative Hybrid,Regular,0.89,6.55,6.46,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.08,4.29,6.22,6.9,4.91,GOI/Cash,7.83,25,https://www.valueresearchonline.com/funds/31783/,INF277K01FH8,115943,1,2,2,3,8,1,1,1,1,4,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,21,Moderate Risk,Average
HSBC Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,4.01,9.09,7.64,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.5,5.29,8.52,7.23,3.95,AAA,6.04,24,https://www.valueresearchonline.com/funds/2077/,INF336L01099,102262,1,2,2,3,8,1,1,1,1,4,1,1,1,1,4,1,1,2,1.5,1.5,19.5,Moderately High Risk,Average
ICICI Pru Regular Savings Reg,hybrid,Conservative Hybrid,Regular,4.59,9.23,8.5,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,0.94,0.85,3.51,8.84,8.56,2.85,AAA,5.11,25,https://www.valueresearchonline.com/funds/2100/,INF109K01902,102330,2,2,3,3,10,3,2,2,2,9,1,2.5,1,1,5.5,1.5,1.5,3,1.5,1.5,29,Low Risk,Good
ICICI Pru Retirement Hybrid Conservative,hybrid,Conservative Hybrid,Regular,5.98,9.97,8.03,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,1.1,0.88,4.52,9.82,7.41,4.65,AAA,9.24,25,https://www.valueresearchonline.com/funds/39061/,INF109KC1TZ7,146719,2,1,2,3,8,1,1,1,1,4,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,21,Moderate Risk,Average
Kotak Debt Hybrid Reg,hybrid,Conservative Hybrid,Regular,1.89,8.27,8.1,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.37,5.28,7.81,7.61,3.71,AAA,7.31,25,https://www.valueresearchonline.com/funds/1901/,INF174K01E92,133036,1,1,2,3,7,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,20.5,Moderate Risk,Average
LIC MF Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,1.69,5.8,5.29,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,-0.17,3.79,5.21,6.97,3.69,AAA,4.28,10,https://www.valueresearchonline.com/funds/552/,INF767K01808,101869,2,2,1,3,8,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,20,Moderate Risk,Average
Nippon India Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,6.49,8.04,7.85,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.77,2.23,7.58,9.38,2.15,AA,2.46,25,https://www.valueresearchonline.com/funds/1990/,INF761K01462,111712,2,2,3,2,9,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
Nippon India Conservative Hybrid Seg Port 2 Reg,hybrid,Conservative Hybrid,Regular,,,,,,,,,,,,,,,,,0,https://www.valueresearchonline.com/funds/40870/,INF204KB19O9,148293,,,,,,,,,,,,,,,,,,,,,,,
Nippon India Conservative Hybrid Seg Port1 Reg,hybrid,Conservative Hybrid,Regular,,,,,,,,,,,,,,,B,,0,https://www.valueresearchonline.com/funds/40701/,INF761K01462,111712,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
Nippon India Retirement Incm Generation Reg,hybrid,Conservative Hybrid,Regular,-0.13,6.22,5.82,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,-0.05,5.03,5.64,7.39,8.93,GOI/Cash,16.36,22,https://www.valueresearchonline.com/funds/29295/,INF204KC1BM7,152036,1,1,2,3,7,2,1,1,2,6,1,1,1,1,4,1.5,1.5,3,1,1,21,Moderate Risk,Average
Parag Parikh Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,4.71,10.48,9.44,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,1.05,3.54,9.59,7.6,4,AAA,4.86,10,https://www.valueresearchonline.com/funds/41482/,INF879O01209,148959,2,2,2,3,9,1,1,1,1,4,1,2,1,1,5,2,2,4,1.5,1.5,23.5,Moderate Risk,Average
SBI Children's Savings Plan Reg,hybrid,Conservative Hybrid,Regular,6.29,11.68,10.95,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,1.06,4.84,11.02,7.06,3.38,AAA,4.67,18,https://www.valueresearchonline.com/funds/1229/,INF200K01776,101169,2,2,2,3,9,2,2,2,2,8,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,26,Moderate Risk,Average
SBI Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,5.31,8.89,8.87,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.67,4.07,8.61,8.21,2.55,AAA,3.49,25,https://www.valueresearchonline.com/funds/960/,INF200K01859,100968,2,2,2,3,9,1,1,1,1,4,1,2.5,1,1,5.5,1.5,1.5,3,1.5,1.5,23,Moderate Risk,Average
SBI Retirement Benefit Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,1.05,7.35,8.25,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.18,6.86,7.09,7.18,6.18,AAA,15.7,25,https://www.valueresearchonline.com/funds/41277/,INF200KA1T54,148692,1,1,2,3,7,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,20.5,Moderate Risk,Average
SBI Retirement Benefit Conservative Reg,hybrid,Conservative Hybrid,Regular,1.25,6.64,6.92,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.06,4.63,6.15,7.51,8.1,AAA,20.38,25,https://www.valueresearchonline.com/funds/41281/,INF200KA1T13,148696,1,1,2,3,7,2,1,1,2,6,1,1.5,1,1,4.5,1.5,1.5,3,1.5,1.5,22,Moderate Risk,Average
Sundaram Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,-0.69,5.09,6.32,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,-0.23,4.15,4.91,5.87,1.37,GOI/Cash,1.59,22,https://www.valueresearchonline.com/funds/10863/,INF194K01RY5,112352,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1.5,1.5,3,1,1,18,Moderately High Risk,Average
Tata Retirement Savings Conservative Reg,hybrid,Conservative Hybrid,Regular,2.73,7.47,6.15,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,,0.26,5.38,7.25,7.17,5.07,AAA,9.04,25,https://www.valueresearchonline.com/funds/13415/,INF277K01FI6,115944,2,1,2,3,8,2,1,1,2,6,1,1,1,1,4,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
UTI Cons Hybrid Seg Port Reg,hybrid,Conservative Hybrid,Regular,,,,,,,,,,,,,,,B,0.07,0,https://www.valueresearchonline.com/funds/40725/,INF789F01893,102535,1,3,1,1,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
UTI Conservative Hybrid Reg,hybrid,Conservative Hybrid,Regular,1.6,8.11,8.1,Hybrid: Conservative Hybrid,2.8,7.8,7.33,,1.36,0.36,4.74,7.57,7.91,5.53,AAA,10.04,25,https://www.valueresearchonline.com/funds/1993/,INF789F01893,102535,1,1,2,3,7,1,1,1,1,4,1,2,1,1,5,1.5,1.5,3,1.5,1.5,20.5,Moderate Risk,Average
ABSL Balanced Advantage Dir,hybrid,Dynamic Asset Allocation,Direct,6.16,12.76,11.12,Hybrid: Dynamic Asset Allocation,3.02,11.43,10.25,,,0.74,8.72,12.32,7.8,2.8,AAA,3.77,25,https://www.valueresearchonline.com/funds/16897/,INF084M01DJ5,131670,2,2,2,3,9,2,2,2,2,8,2.5,2.5,2.5,2,9.5,1.5,1.5,3,2,2,31.5,Low Risk,Good
ABSL Dynamic Asset Allocation Omni FoF Dir*,hybrid,Dynamic Asset Allocation,Direct,4.78,14.88,13.07,Hybrid: Dynamic Asset Allocation,3.02,11.43,10.25,,,0.78,11.21,14.6,,,AAA,,8,https://www.valueresearchonline.com/funds/16914/,INF084M01EW6,132186,1,1,1,3,6,2,2,2,2,8,1,1,1,1,4,1,1,2,1,1,21,Moderate Risk,Average
Axis Balanced Advantage Dir,hybrid,Dynamic Asset Allocation,Direct,3.8,13.34,11.44,Hybrid: Dynamic Asset Allocation,3.02,11.43,10.25,,1.12,0.79,8.6,12.63,7.15,2.22,AAA,2.64,25,https://www.valueresearchonline.com/funds/34467/,INF846K01A29,141642,2,2,2,3,9,2,2,2,2,8,2.5,2,2,2,8.5,1.5,1.5,3,2,2,30.5,Low Risk,Good
Axis Retirement-Dynamic Plan Dir,hybrid,Dynamic Asset Allocation,Direct,0.14,12.38,10.16,Hybrid: Dynamic Asset Allocation,3.02,11.43,10.25,,,0.54,13.5,13.09,6.88,7.33,GOI/Cash,17.37,25,https://www.valueresearchonline.com/funds/40433/,INF846K01T28,147826,1,1,2,3,7,1,1,1,2,5,2.5,2,2,1.5,8,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
Bajaj Finserv Balanced Advantage Dir,hybrid,Dynamic Asset Allocation,Direct,3.6,,,Hybrid: Dynamic Asset Allocation,3.02,,,,1.35,,,,7.32,1.65,AAA,3.04,25,https://www.valueresearchonline.com/funds/43877/,INF0QA701656,152194,2,2,2,3,9,1,1,1,1,4,1.5,1.5,2,1.5,6.5,1.5,1.5,3,1.5,1.5,24,Moderate Risk,Average
Bandhan Balanced Advantage Dir,hybrid,Dynamic Asset Allocation,Direct,5.32,10.76,9.44,Hybrid: Dynamic Asset Allocation,3.02,11.43,10.25,,,0.57,8.27,10.58,7.32,1.59,AAA,2.81,25,https://www.valueresearchonline.com/funds/28342/,INF194KA1UH1,131355,1,1,2,3,7,2,1,1,2,6,2.5,2,2,2,8.5,1.5,1.5,3,2,2,26.5,Moderate Risk,Average
Bank of India Balanced Advantage Dir,hybrid,Dynamic Asset Allocation,Direct,6.97,11.09,11.31,Hybrid: Dynamic Asset Allocation,3.02,11.43,10.25,,,0.52,9.79,10.99,6.57,1.32,AAA,1.48,25,https://www.valueresearchonline.com/funds/24756/,INF761K01BO6,127850,2,2,2,3,9,2,1,1,2,6,2,2,2,2,8,2,1.5,3.5,1.5,1.5,28,Low Risk,Good
Baroda BNP Paribas Balanced Advantage Dir,hybrid,Dynamic Asset Allocation,Direct,7.1,14.07,12.88,Hybrid: Dynamic Asset Allocation,3.02,11.43,10.25,,1.43,0.72,11.69,14.28,7.5,2.78,AAA,4.89,25,https://www.valueresearchonline.com/funds/38113/,INF955L01HF7,145396,2,2,2,3,9,2,2,1,2,7,2,2.5,2.5,2,9,1.5,1.5,3,1.5,1.5,29.5,Low Risk,Good
