Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Duration Score (3),Maturity Score (3),YTM Score (3),Credit Score (3),Debt Quality (12),Std Dev Score (3),Sharpe Score (3),Sortino Score (3),Mean Return Score (3),Risk & Return (12),Num Stocks Score (2.5),Top10 Score (2.5),Top5 Score (2.5),Top3 Sectors Score (2.5),Diversification (10),PE Score (2),PB Score (2),Valuation (4),Num Securities Score (2),Portfolio Breadth (2),Total Score (40),Risk Category,Fund Rating
Mirae Asset Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,5.55,13.23,11.92,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.62,11.63,13.05,7.53,2.79,AAA,4.62,25,https://www.valueresearchonline.com/funds/30604/,INF769K01DH9,134813,2,2,2,3,9,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Navi Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,8.77,13.4,12.8,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.61,12.1,13.28,6.01,0.04,AAA,0.04,25,https://www.valueresearchonline.com/funds/35943/,INF959L01CX3,143163,3,3,2,3,11,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,27,Low Risk,Good
Nippon India Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,3.62,13.21,12.54,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.66,10.88,13.08,8.4,3.31,AAA,4.68,25,https://www.valueresearchonline.com/funds/16159/,INF204K01B08,118794,2,2,3,3,10,1,1,1,1,4,2,2,2.5,2,8.5,1.5,1.5,3,1.5,1.5,27,Low Risk,Good
Nippon India Aggressive Hybrid Seg Port 1 Direct,hybrid,Aggressive Hybrid,Direct,,,,,,,,,,,,,,,C,,0,https://www.valueresearchonline.com/funds/40312/,INF204KB16T4,148266,1,3,1,1,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
Nippon India Aggressive Hybrid Seg Port 2 Dir,hybrid,Aggressive Hybrid,Direct,,,,,,,,,,,,,,,,,0,https://www.valueresearchonline.com/funds/40856/,INF204KB13T1,148265,1,3,1,1,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
PGIM India Aggressive Hybrid Equity Dir*,hybrid,Aggressive Hybrid,Direct,2.46,10.42,9.16,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.04,0.4,10.79,10.14,6.6,,AAA,3.98,25,https://www.valueresearchonline.com/funds/15620/,INF663L01GX2,138386,1,2,2,3,8,1,1,1,1,4,1.5,1.5,1.5,2,6.5,1.5,1.5,3,1.5,1.5,23,Moderate Risk,Average
Quant Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,13.31,16.05,15.31,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.73,15.2,17.01,,,AAA,,10,https://www.valueresearchonline.com/funds/17357/,INF966L01556,120819,1,1,1,3,6,1,1,1,1,4,1,1,1.5,1.5,5,1.5,1.5,3,1,1,19,Moderately High Risk,Average
SBI Children's Investment Plan Dir*,hybrid,Aggressive Hybrid,Direct,19.29,23.39,25.53,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,1.06,16.02,22.8,5.41,0.02,GOI/Cash,0.02,25,https://www.valueresearchonline.com/funds/41124/,INF200KA1R07,148490,3,3,1,3,10,1,2,2,3,8,1.5,2,2,1.5,7,1.5,1.5,3,1.5,1.5,29.5,Low Risk,Good
SBI Equity Hybrid Dir,hybrid,Aggressive Hybrid,Direct,5.41,14.08,12.02,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.03,0.76,10.77,14.01,7.69,2.47,AAA,3.65,25,https://www.valueresearchonline.com/funds/16215/,INF200K01RY0,119609,2,2,2,3,9,1,1,1,1,4,1.5,2,2,2,7.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
SBI Retirement Benefit Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,4.1,11.09,13.21,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.45,12.04,11.26,4.29,2,GOI/Cash,2.73,25,https://www.valueresearchonline.com/funds/41275/,INF200KA1S97,148685,2,2,1,3,8,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,24,Moderate Risk,Average
