Sr. No.,Company name,ISIN,BSE Symbol, BSE 6 month Avg Total Market Cap in (Rs. Crs.) ,NSE Symbol, NSE 6 month Avg Total Market Cap (Rs. Crs.) ,MSEI Symbol, MSEI 6 month Avg Total Market Cap in (Rs Crs.) ,Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
178,UPL Limited,INE628A01036,UPL,"  60,521.71 ",UPL,"  56,883.31 ",-, - ,"  58,702.51 ",Mid Cap
179,The Phoenix Mills Ltd.,INE211B01039,PHOENIXLTD,"  57,964.35 ",PHOENIXLTD,"  57,972.70 ",-, - ,"  57,968.52 ",Mid Cap
180,Bank of India,INE084A01016,BANKINDIA,"  57,802.62 ",BANKINDIA,"  57,811.37 ",-, - ,"  57,806.99 ",Mid Cap
181,Tube Investments of India Ltd,INE974X01010,TIINDIA,"  57,612.95 ",TIINDIA,"  57,620.24 ",-, - ,"  57,616.60 ",Mid Cap
182,Indian Railway Catering & Tourism Corporation Ltd,INE335Y01020,IRCTC,"  57,368.63 ",IRCTC,"  57,370.95 ",-, - ,"  57,369.79 ",Mid Cap
183,Bharat Dynamics Limited,INE171Z01026,BDL,"  57,203.13 ",BDL,"  57,206.15 ",-, - ,"  57,204.64 ",Mid Cap
184,IDFC FIRST BANK LIMITED,INE092T01019,IDFCFIRSTB,"  57,664.29 ",IDFCFIRSTB,"  56,605.59 ",-, - ,"  57,134.94 ",Mid Cap
185,PI Industries Limited,INE603J01030,PIIND,"  55,993.66 ",PIIND,"  55,996.59 ",-, - ,"  55,995.13 ",Mid Cap
186,Motilal Oswal Financial Services Limited,INE338I01027,MOTILALOFS,"  55,870.25 ",MOTILALOFS,"  55,855.06 ",-, - ,"  55,862.66 ",Mid Cap
187,Glenmark Pharmaceuticals ltd,INE935A01035,GLENMARK,"  55,712.57 ",GLENMARK,"  55,719.39 ",-, - ,"  55,715.98 ",Mid Cap
188,Max Financial Services Limited,INE180A01020,MFSL,"  55,402.53 ",MFSL,"  55,407.22 ",-, - ,"  55,404.88 ",Mid Cap
189,Steel Authority of India Ltd.,INE114A01011,SAIL,"  54,436.25 ",SAIL,"  54,443.86 ",-, - ,"  54,440.06 ",Mid Cap
190,Federal Bank Ltd.,INE171A01029,FEDERALBNK,"  54,269.80 ",FEDERALBNK,"  54,298.67 ",-, - ,"  54,284.24 ",Mid Cap
191,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,INE298J01013,NAM-INDIA,"  53,988.84 ",NAM-INDIA,"  53,958.92 ",-, - ,"  53,973.88 ",Mid Cap
192,Mphasis Limited,INE356A01018,MPHASIS,"  53,515.51 ",MPHASIS,"  53,505.61 ",-, - ,"  53,510.56 ",Mid Cap
193,Kalyan Jewellers India Limited,INE303R01014,KALYANKJIL,"  53,383.73 ",KALYANKJIL,"  53,386.45 ",-, - ,"  53,385.09 ",Mid Cap
194,Linde India Limited,INE473A01011,LINDEINDIA,"  53,245.89 ",LINDEINDIA,"  53,250.35 ",-, - ,"  53,248.12 ",Mid Cap
195,SUNDARAM FINANCE LTD,INE660A01013,SUNDARMFIN,"  52,664.23 ",SUNDARMFIN,"  52,674.25 ",-, - ,"  52,669.24 ",Mid Cap
196,Supreme Industries Ltd.,INE195A01028,SUPREMEIND,"  51,140.48 ",SUPREMEIND,"  51,150.02 ",-, - ,"  51,145.25 ",Mid Cap
197,Biocon Ltd.,INE376G01013,BIOCON,"  50,156.72 ",BIOCON,"  50,163.67 ",-, - ,"  50,160.20 ",Mid Cap
198,Tata Communications Limited,INE151A01013,TATACOMM,"  49,907.59 ",TATACOMM,"  49,916.64 ",-, - ,"  49,912.12 ",Mid Cap
199,Laurus Labs Limited,INE947Q01028,LAURUSLABS,"  49,375.18 ",LAURUSLABS,"  49,354.41 ",-, - ,"  49,364.80 ",Mid Cap
200,Authum Investment & Infrastructure Limited,INE206F01022,AIIL,"  49,310.60 ",AIIL,"  49,318.29 ",-, - ,"  49,314.44 ",Mid Cap
201,Godfrey Phillips India Ltd.,INE260B01028,GODFRYPHLP,"  49,052.93 ",GODFRYPHLP,"  49,053.78 ",-, - ,"  49,053.35 ",Mid Cap
202,J.K. CEMENT LTD,INE823G01014,JKCEMENT,"  48,678.99 ",JKCEMENT,"  48,693.16 ",-, - ,"  48,686.08 ",Mid Cap
203,United Breweries Ltd.,INE686F01025,UBL,"  48,008.87 ",UBL,"  48,008.50 ",-, - ,"  48,008.69 ",Mid Cap
204,APL Apollo Tubes Limited,INE702C01027,APLAPOLLO,"  47,513.11 ",APLAPOLLO,"  47,509.21 ",-, - ,"  47,511.16 ",Mid Cap
205,Page Industries Ltd.,INE761H01022,PAGEIND,"  47,336.26 ",PAGEIND,"  47,338.68 ",-, - ,"  47,337.47 ",Mid Cap
206,GlaxoSmithkline Pharmaceuticals Ltd.,INE159A01016,GLAXO,"  46,769.58 ",GLAXO,"  46,786.06 ",-, - ,"  46,777.82 ",Mid Cap
207,Balkrishna Industries Ltd.,INE787D01026,BALKRISIND,"  46,618.72 ",BALKRISIND,"  46,627.57 ",-, - ,"  46,623.15 ",Mid Cap
208,ITC Hotels Limited,INE379A01028,ITCHOTELS,"  46,322.21 ",ITCHOTELS,"  46,313.66 ",-, - ,"  46,317.94 ",Mid Cap
209,Cochin Shipyard Limited,INE704P01025,COCHINSHIP,"  46,225.81 ",COCHINSHIP,"  46,226.59 ",-, - ,"  46,226.20 ",Mid Cap
210,Premier Energies Limited,INE0BS701011,PREMIERENE,"  45,789.41 ",PREMIERENE,"  45,678.34 ",-, - ,"  45,733.88 ",Mid Cap
211,Hexaware Technologies Limited,INE093A01041,HEXT ,"  45,651.85 ",HEXT,"  45,634.26 ",-, - ,"  45,643.06 ",Mid Cap
212,L&T Technology Services Limited,INE010V01017,LTTS,"  45,463.29 ",LTTS,"  45,466.68 ",-, - ,"  45,464.99 ",Mid Cap
213,Voltas Ltd.,INE226A01021,VOLTAS,"  45,322.25 ",VOLTAS,"  45,331.92 ",-, - ,"  45,327.09 ",Mid Cap
214,Multi Commodity Exchange of India Ltd,INE745G01035,MCX,"  45,092.61 ",-, - ,-, - ,"  45,092.61 ",Mid Cap
215,Housing &Urban Development Corporation Ltd.,INE031A01017,HUDCO,"  44,791.80 ",HUDCO,"  44,793.74 ",-, - ,"  44,792.77 ",Mid Cap
216,360 ONE WAM LIMITED,INE466L01038,360ONE,"  44,932.24 ",360ONE,"  44,381.13 ",-, - ,"  44,656.69 ",Mid Cap
217,Bank of maharashtra,INE457A01014,MAHABANK,"  43,642.98 ",MAHABANK,"  43,640.66 ",-, - ,"  43,641.82 ",Mid Cap
218,Procter & Gamble Hygiene & Health Care Ltd.,INE179A01014,PGHH,"  43,172.86 ",PGHH,"  43,182.00 ",-, - ,"  43,177.43 ",Mid Cap
219,PETRONET LNG LTD.,INE347G01014,PETRONET,"  42,178.04 ",PETRONET,"  42,177.03 ",-, - ,"  42,177.53 ",Mid Cap
220,Indian Renewable Energy Development Agency Limited,INE202E01016,IREDA,"  41,747.74 ",IREDA,"  41,748.52 ",-, - ,"  41,748.13 ",Mid Cap
221,Anthem Biosciences Limited,INE0CZ201020,ANTHEM,"  41,542.90 ",ANTHEM,"  41,550.97 ",-, - ,"  41,546.93 ",Mid Cap
222,Container Corporation Of India Ltd.,INE111A01025,CONCOR,"  41,501.97 ",CONCOR,"  41,502.80 ",-, - ,"  41,502.38 ",Mid Cap
223,Mahindra & Mahindra Financial Services Limited,INE774D01024,M&MFIN,"  41,376.19 ",M&MFIN,"  41,378.34 ",-, - ,"  41,377.26 ",Mid Cap
224,National Aluminium Co. Ltd.,INE139A01034,NATIONALUM,"  41,313.79 ",NATIONALUM,"  41,318.82 ",-, - ,"  41,316.31 ",Mid Cap
225,DALMIA BHARAT LIMITED,INE00R701025,DALBHARAT,"  41,112.53 ",DALBHARAT,"  41,110.64 ",-, - ,"  41,111.58 ",Mid Cap
226,Jubilant Foodworks Limited,INE797F01020,JUBLFOOD,"  40,943.76 ",JUBLFOOD,"  40,946.09 ",-, - ,"  40,944.93 ",Mid Cap
227,KAYNES TECHNOLOGY INDIA LIMITED,INE918Z01012,KAYNES,"  40,788.86 ",KAYNES,"  39,866.09 ",-, - ,"  40,327.47 ",Mid Cap
228,Escorts Kubota Limited,INE042A01014,ESCORTS,"  40,130.68 ",ESCORTS,"  40,134.20 ",-, - ,"  40,132.44 ",Mid Cap
229,Radico Khaitan Ltd.,INE944F01028,RADICO,"  40,110.83 ",RADICO,"  40,108.03 ",-, - ,"  40,109.43 ",Mid Cap
230,Gujarat Fluorochemicals Limited,INE09N301011,FLUOROCHEM,"  39,087.82 ",FLUOROCHEM,"  39,103.68 ",-, - ,"  39,095.75 ",Mid Cap
231,Endurance Technologies Limited,INE913H01037,ENDURANCE,"  38,667.47 ",ENDURANCE,"  38,671.91 ",-, - ,"  38,669.69 ",Mid Cap
232,KEI Industries Ltd.,INE878B01027,KEI,"  38,632.91 ",KEI,"  38,633.18 ",-, - ,"  38,633.05 ",Mid Cap
233,ASTRAL LIMITED,INE006I01046,ASTRAL,"  38,626.78 ",ASTRAL,"  38,629.75 ",-, - ,"  38,628.27 ",Mid Cap
234,Thermax Ltd.,INE152A01029,THERMAX,"  38,582.74 ",THERMAX,"  38,587.35 ",-, - ,"  38,585.04 ",Mid Cap
235,Physicswallah Limited,INE0LP301011,PWL,"  38,491.00 ",PWL,"  38,478.55 ",-, - ,"  38,484.77 ",Mid Cap
236,UCO Bank,INE691A01018,UCOBANK,"  38,062.84 ",UCOBANK,"  38,057.46 ",-, - ,"  38,060.15 ",Mid Cap
237,Blue Star Ltd,INE472A01039,BLUESTARCO,"  37,851.41 ",BLUESTARCO,"  37,850.99 ",-, - ,"  37,851.20 ",Mid Cap
238,Narayana Hrudayalaya Limited,INE410P01011,NH,"  37,851.07 ",NH,"  37,849.06 ",-, - ,"  37,850.07 ",Mid Cap
239,Tata Investment Corporation Ltd.,INE672A01026,TATAINVEST,"  37,809.03 ",TATAINVEST,"  37,805.03 ",-, - ,"  37,807.03 ",Mid Cap
240,Godrej Industries Ltd.,INE233A01035,GODREJIND,"  37,682.43 ",GODREJIND,"  37,680.96 ",-, - ,"  37,681.70 ",Mid Cap
241,POONAWALLA FINCORP LIMITED,INE511C01022,POONAWALLA,"  36,984.18 ",POONAWALLA,"  36,348.84 ",-, - ,"  36,666.51 ",Mid Cap
242,CRISIL Ltd.,INE007A01025,CRISIL,"  36,290.82 ",CRISIL,"  36,290.59 ",-, - ,"  36,290.70 ",Mid Cap
243,K.P.R. Mill Ltd.,INE930H01031,KPRMILL,"  36,165.54 ",KPRMILL,"  36,176.60 ",-, - ,"  36,171.07 ",Mid Cap
244,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,INE149A01033,CHOLAHLDNG,"  35,795.09 ",CHOLAHLDNG,"  35,810.29 ",-, - ,"  35,802.69 ",Mid Cap
245,3M India Ltd.,INE470A01017,3MINDIA,"  35,768.38 ",3MINDIA,"  35,782.20 ",-, - ,"  35,775.29 ",Mid Cap
246,Ipca Laboratories Ltd.,INE571A01038,IPCALAB,"  35,215.54 ",IPCALAB,"  35,224.58 ",-, - ,"  35,220.06 ",Mid Cap
247,Piramal Finance Limited,INE202B01038,PIRAMALFIN,"  35,105.31 ",PIRAMALFIN,"  35,093.23 ",-, - ,"  35,099.27 ",Mid Cap
248,Apar Industries Ltd,INE372A01015,APARINDS,"  34,902.43 ",APARINDS,"  34,909.42 ",-, - ,"  34,905.93 ",Mid Cap
249,SJVN LIMITED,INE002L01015,SJVN,"  34,832.21 ",SJVN,"  34,833.08 ",-, - ,"  34,832.64 ",Mid Cap
250,Global Health Limited,INE474Q01031,MEDANTA,"  34,761.46 ",MEDANTA,"  34,755.30 ",-, - ,"  34,758.38 ",Mid Cap
251,ACC Ltd,INE012A01025,ACC,"  34,699.88 ",ACC,"  34,698.50 ",-, - ,"  34,699.19 ",Small Cap
252,Tata Elxsi Ltd,INE670A01012,TATAELXSI,"  34,603.20 ",TATAELXSI,"  34,604.08 ",-, - ,"  34,603.64 ",Small Cap
253,NLC India Limited,INE589A01014,NLCINDIA,"  34,423.14 ",NLCINDIA,"  34,428.58 ",-, - ,"  34,425.86 ",Small Cap
254,AWL AGRI BUSINESS LIMITED,INE699H01024,AWL,"  33,879.27 ",AWL,"  33,882.47 ",-, - ,"  33,880.87 ",Small Cap
255,Central Bank of India,INE483A01010,CENTRALBK,"  33,882.70 ",CENTRALBK,"  33,878.68 ",-, - ,"  33,880.69 ",Small Cap
256,KPIT Technologies Ltd,INE04I401011,KPITTECH,"  33,295.39 ",KPITTECH,"  33,301.38 ",-, - ,"  33,298.38 ",Small Cap
257,Central Depository Services (India) Ltd.,INE736A01011,-, - ,CDSL,"  32,985.81 ",-, - ,"  32,985.81 ",Small Cap
258,Delhivery Limited,INE148O01028,DELHIVERY,"  32,985.24 ",DELHIVERY,"  32,975.06 ",-, - ,"  32,980.15 ",Small Cap
259,Aster DM Healthcare Limited,INE914M01019,ASTERDM,"  32,945.32 ",ASTERDM,"  32,949.85 ",-, - ,"  32,947.58 ",Small Cap
260,Exide Industries Ltd.,INE302A01020,EXIDEIND,"  32,936.69 ",EXIDEIND,"  32,936.22 ",-, - ,"  32,936.45 ",Small Cap
261,Go Digit General Insurance Limited,INE03JT01014,GODIGIT,"  32,606.48 ",GODIGIT,"  32,606.84 ",-, - ,"  32,606.66 ",Small Cap
262,Honeywell Automation India Ltd.,INE671A01010,HONAUT,"  32,472.09 ",HONAUT,"  32,470.56 ",-, - ,"  32,471.32 ",Small Cap
263,Ajanta Pharma Ltd.,INE031B01049,AJANTPHARM,"  32,249.53 ",AJANTPHARM,"  32,251.71 ",-, - ,"  32,250.62 ",Small Cap
264,Metro Brands Limited,INE317I01021,METROBRAND,"  32,065.72 ",METROBRAND,"  32,062.81 ",-, - ,"  32,064.27 ",Small Cap
265,AIA Engineering Ltd.,INE212H01026,AIAENG,"  31,493.50 ",AIAENG,"  31,496.97 ",-, - ,"  31,495.23 ",Small Cap
266,Cohance Lifesciences Limited,INE03QK01018,COHANCE,"  31,438.30 ",COHANCE,"  31,444.47 ",-, - ,"  31,441.39 ",Small Cap
267,Lic Housing Finance Ltd.,INE115A01026,LICHSGFIN,"  31,409.73 ",LICHSGFIN,"  31,411.61 ",-, - ,"  31,410.67 ",Small Cap
268,Gillette India Ltd.,INE322A01010,GILLETTE,"  31,179.00 ",GILLETTE,"  31,176.05 ",-, - ,"  31,177.53 ",Small Cap
269, Gland Pharma Limited,INE068V01023,GLAND,"  31,064.63 ",GLAND,"  31,069.09 ",-, - ,"  31,066.86 ",Small Cap
270,Apollo Tyres Ltd,INE438A01022,APOLLOTYRE,"  30,841.61 ",APOLLOTYRE,"  30,841.41 ",-, - ,"  30,841.51 ",Small Cap
271,The New India Assurance Company Limited,INE470Y01017,NIACL,"  30,194.37 ",NIACL,"  30,188.64 ",-, - ,"  30,191.50 ",Small Cap
272,NBCC (India) Limited,INE095N01031,NBCC,"  30,065.06 ",NBCC,"  30,065.21 ",-, - ,"  30,065.13 ",Small Cap
273,ITI Limited (Indian Teleph.Ind.Ltd),INE248A01017,ITI,"  30,012.39 ",ITI,"  30,013.15 ",-, - ,"  30,012.77 ",Small Cap
274,Hindustan Copper Ltd.,INE531E01026,HINDCOPPER,"  29,929.32 ",HINDCOPPER,"  29,933.95 ",-, - ,"  29,931.63 ",Small Cap
275,Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,GRSE,"  29,787.90 ",GRSE,"  29,786.16 ",-, - ,"  29,787.03 ",Small Cap
276,Motherson Sumi Wiring India Limited,INE0FS801015,MSUMI,"  29,601.56 ",MSUMI,"  29,602.63 ",-, - ,"  29,602.10 ",Small Cap
277,Gujarat Gas Limited,INE844O01030,GUJGASLTD,"  29,362.98 ",GUJGASLTD,"  29,365.41 ",-, - ,"  29,364.20 ",Small Cap
278,ICICI Securities Limited,INE763G01038,ISEC,"  29,132.36 ",-, - ,-, - ,"  29,132.36 ",Small Cap
279,Indraprashtha Gas Ltd.,INE203G01027,IGL,"  29,027.20 ",IGL,"  29,031.10 ",-, - ,"  29,029.15 ",Small Cap
280,Sona BLW Precision Forgings Limited,INE073K01018,SONACOMS,"  28,833.79 ",SONACOMS,"  28,832.66 ",-, - ,"  28,833.22 ",Small Cap
281,AEGIS VOPAK TERMINALS LIMITED,INE0INX01018,AEGISVOPAK,"  28,632.21 ",AEGISVOPAK,"  28,636.67 ",-, - ,"  28,634.44 ",Small Cap
282,Krishna Institute of Medical Sciences Limited,INE967H01025,KIMS,"  28,469.14 ",KIMS,"  28,472.97 ",-, - ,"  28,471.05 ",Small Cap
283,Tata Technologies Limited,INE142M01025,TATATECH,"  27,831.74 ",TATATECH,"  27,832.47 ",-, - ,"  27,832.10 ",Small Cap
284,Pine Labs Limited,INE15B701018,PINELABS,"  27,485.91 ",PINELABS,"  27,482.50 ",-, - ,"  27,484.20 ",Small Cap
285,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,INE115Q01022,IKS ,"  27,302.60 ",IKS,"  27,305.85 ",-, - ,"  27,304.23 ",Small Cap
286,ELITECON INTERNATIONAL LIMITED,INE669R01026,ELITECON,"  27,167.07 ",-, - ,-, - ,"  27,167.07 ",Small Cap
287,Star Health and Allied Insurance Company Limited,INE575P01011,STARHEALTH,"  26,983.32 ",STARHEALTH,"  26,977.36 ",-, - ,"  26,980.34 ",Small Cap
288,J.B. Chemicals & Pharmaceuticals Lt,INE572A01036,JBCHEPHARM,"  26,957.36 ",JBCHEPHARM,"  26,937.20 ",-, - ,"  26,947.28 ",Small Cap
289,TVS Holdings Limited,INE105A01035,TVSHLTD,"  26,832.86 ",TVSHLTD,"  26,839.89 ",-, - ,"  26,836.38 ",Small Cap
290,IRB Infrastructure Developers Limited,INE821I01022,IRB,"  26,589.24 ",IRB,"  26,587.32 ",-, - ,"  26,588.28 ",Small Cap
291,Navin Fluorine International Limited,INE048G01026,NAVINFLUOR,"  26,727.26 ",NAVINFLUOR,"  26,395.21 ",-, - ,"  26,561.23 ",Small Cap
292,SUMITOMO CHEMICAL INDIA LIMITED,INE258G01013,SUMICHEM,"  26,460.49 ",SUMICHEM,"  26,464.75 ",-, - ,"  26,462.62 ",Small Cap
293,AFFLE 3I LIMITED,INE00WC01027,AFFLE,"  26,433.39 ",AFFLE,"  26,428.18 ",-, - ,"  26,430.79 ",Small Cap
294,Aegis Logistics Ltd.,INE208C01025,AEGISLOG,"  26,422.61 ",AEGISLOG,"  26,424.77 ",-, - ,"  26,423.69 ",Small Cap
295,Syngene International Limited,INE398R01022,SYNGENE,"  26,232.12 ",SYNGENE,"  26,233.72 ",-, - ,"  26,232.92 ",Small Cap
296,Bandhan Bank Limited,INE545U01014,BANDHANBNK,"  26,207.69 ",BANDHANBNK,"  26,210.29 ",-, - ,"  26,208.99 ",Small Cap
297,Emcure Pharmaceuticals Limited,INE168P01015,EMCURE,"  26,076.33 ",EMCURE,"  26,075.36 ",-, - ,"  26,075.84 ",Small Cap
298,Piramal Enterprises Limited,INE140A01024,PEL,"  26,066.51 ",-, - ,-, - ,"  26,066.51 ",Small Cap
299,Dr. Lal Pathlabs Limited,INE600L01024,LALPATHLAB,"  26,017.44 ",LALPATHLAB,"  26,024.06 ",-, - ,"  26,020.75 ",Small Cap
300,Amber Enterprises India Limited,INE371P01015,AMBER,"  26,019.11 ",AMBER,"  25,985.14 ",-, - ,"  26,002.12 ",Small Cap
301,PIRAMAL PHARMA LIMITED,INE0DK501011,PPLPHARMA,"  25,718.79 ",PPLPHARMA,"  25,720.20 ",-, - ,"  25,719.50 ",Small Cap
302,ZF Commercial Vehicle Control Systems India Limited,INE342J01019,ZFCVINDIA,"  25,708.97 ",ZFCVINDIA,"  25,711.06 ",-, - ,"  25,710.02 ",Small Cap
303,Nuvama Wealth Management Limited,INE531F01023,NUVAMA,"  25,540.53 ",NUVAMA,"  25,487.64 ",-, - ,"  25,514.09 ",Small Cap
304,Mangalore Refinery & Petrochemicals,INE103A01014,MRPL,"  25,242.22 ",MRPL,"  25,243.01 ",-, - ,"  25,242.62 ",Small Cap
305,The Ramco Cements Limited,INE331A01037,RAMCOCEM,"  25,044.43 ",RAMCOCEM,"  25,052.46 ",-, - ,"  25,048.45 ",Small Cap
306,Shyam Metalics and Energy Limited,INE810G01011,SHYAMMETL,"  24,905.91 ",SHYAMMETL,"  24,915.61 ",-, - ,"  24,910.76 ",Small Cap
307,Emami Ltd,INE548C01032,EMAMILTD,"  24,544.82 ",EMAMILTD,"  24,404.61 ",-, - ,"  24,474.72 ",Small Cap
308,Firstsource Solutions Ltd.,INE684F01012,FSL,"  24,403.64 ",FSL,"  24,408.70 ",-, - ,"  24,406.17 ",Small Cap
309,Inox Wind Limited,INE066P01011,INOXWIND,"  24,539.03 ",INOXWIND,"  24,061.96 ",-, - ,"  24,300.50 ",Small Cap
310,Deepak Nitrite Limited,INE288B01029,DEEPAKNTR,"  24,199.42 ",DEEPAKNTR,"  24,200.74 ",-, - ,"  24,200.08 ",Small Cap
311,EIH Ltd,INE230A01023,EIHOTEL,"  23,927.82 ",EIHOTEL,"  23,933.78 ",-, - ,"  23,930.80 ",Small Cap
312,Wockhardt Ltd,INE049B01025,WOCKPHARMA,"  23,916.61 ",WOCKPHARMA,"  23,918.64 ",-, - ,"  23,917.62 ",Small Cap
313,PTC Industries Ltd.,INE596F01018,PTCIL,"  23,911.16 ",PTCIL,"  23,917.94 ",-, - ,"  23,914.55 ",Small Cap
314,Pfizer Ltd.,INE182A01018,PFIZER,"  23,802.19 ",PFIZER,"  23,807.76 ",-, - ,"  23,804.97 ",Small Cap
315,Anand Rathi Wealth Limited,INE463V01026,ANANDRATHI,"  23,643.42 ",ANANDRATHI,"  23,649.73 ",-, - ,"  23,646.57 ",Small Cap
316,KIOCL Limited,INE880L01014,KIOCL,"  23,624.30 ",KIOCL,"  23,625.05 ",KIOCL,"  23,635.03 ","  23,628.12 ",Small Cap
317,Manappuram Finance Limited,INE522D01027,MANAPPURAM,"  23,545.40 ",MANAPPURAM,"  23,550.47 ",-, - ,"  23,547.93 ",Small Cap
318,PNB Housing Finance Limited,INE572E01012,PNBHOUSING,"  23,490.96 ",PNBHOUSING,"  23,486.13 ",-, - ,"  23,488.54 ",Small Cap
319,Brigade Enterprises Limited,INE791I01019,BRIGADE,"  23,416.88 ",BRIGADE,"  23,423.85 ",-, - ,"  23,420.36 ",Small Cap
320,Bayer CropScience Limited.,INE462A01022,BAYERCROP,"  23,405.20 ",-, - ,-, - ,"  23,405.20 ",Small Cap
321,Aditya Birla Sun Life AMC Limited,INE404A01024,ABSLAMC,"  23,403.38 ",ABSLAMC,"  23,402.74 ",-, - ,"  23,403.06 ",Small Cap
322,National Securities Depository Limited,INE301O01023,NSDL,"  23,327.93 ",-, - ,-, - ,"  23,327.93 ",Small Cap
323,Timken India Ltd,INE325A01013,TIMKEN,"  23,199.59 ",TIMKEN,"  23,203.05 ",-, - ,"  23,201.32 ",Small Cap
324,Himadri Speciality Chemical Ltd.,INE019C01026,HSCL,"  23,186.92 ",HSCL,"  23,188.24 ",-, - ,"  23,187.58 ",Small Cap
325,Force Motors Limited,INE451A01017,FORCEMOT,"  23,014.93 ",FORCEMOT,"  23,018.52 ",-, - ,"  23,016.72 ",Small Cap
326,Welspun Corp Limited,INE191B01025,WELCORP,"  22,987.79 ",WELCORP,"  22,983.09 ",-, - ,"  22,985.44 ",Small Cap
327,ANGEL ONE LIMITED,INE732I01013,ANGELONE,"  22,921.14 ",ANGELONE,"  22,895.96 ",-, - ,"  22,908.55 ",Small Cap
328,Tata Chemicals Ltd,INE092A01019,TATACHEM,"  22,735.03 ",TATACHEM,"  22,736.12 ",-, - ,"  22,735.57 ",Small Cap
329,Asahi India Glass Ltd.,INE439A01020,ASAHIINDIA,"  22,714.94 ",ASAHIINDIA,"  22,676.66 ",-, - ,"  22,695.80 ",Small Cap
330,AstraZeneca Pharma India Ltd.,INE203A01020,ASTRAZEN,"  22,583.64 ",ASTRAZEN,"  22,590.87 ",-, - ,"  22,587.25 ",Small Cap
331,Eris Lifesciences Limited,INE406M01024,ERIS,"  22,572.77 ",ERIS,"  22,579.21 ",-, - ,"  22,575.99 ",Small Cap
332,CESC Limited,INE486A01021,CESC,"  22,519.02 ",CESC,"  22,520.55 ",-, - ,"  22,519.78 ",Small Cap
333,HBL ENGINEERING LIMITED,INE292B01021,HBLENGINE,"  22,517.02 ",HBLENGINE,"  22,519.55 ",-, - ,"  22,518.28 ",Small Cap
334,SUN TV NETWORK LIMITED,INE424H01027,SUNTV,"  22,228.17 ",SUNTV,"  22,231.80 ",-, - ,"  22,229.99 ",Small Cap
335,Karur Vysya Bank Ltd.,INE036D01028,KARURVYSYA,"  22,092.09 ",KARURVYSYA,"  22,230.72 ",-, - ,"  22,161.40 ",Small Cap
336,Sagility Limited,INE0W2G01015,SAGILITY,"  21,900.41 ",SAGILITY,"  21,899.29 ",-, - ,"  21,899.85 ",Small Cap
337,Jyoti CNC Automation Limited,INE980O01024,JYOTICNC,"  21,734.43 ",JYOTICNC,"  21,736.38 ",-, - ,"  21,735.40 ",Small Cap
338,KEC International Ltd.,INE389H01022,KEC,"  21,634.91 ",KEC,"  21,636.89 ",-, - ,"  21,635.90 ",Small Cap
339,Aadhar Housing Finance Limited,INE883F01010,AADHARHFC,"  21,636.16 ",AADHARHFC,"  21,627.10 ",-, - ,"  21,631.63 ",Small Cap
340,IIFL FINANCE LIMITED ,INE530B01024,IIFL,"  21,399.40 ",IIFL,"  21,398.64 ",-, - ,"  21,399.02 ",Small Cap
341,Redington Limited,INE891D01026,REDINGTON,"  21,393.29 ",REDINGTON,"  21,393.39 ",-, - ,"  21,393.34 ",Small Cap
342,Hatsun Agro Products Ltd.,INE473B01035,HATSUN,"  21,359.98 ",HATSUN,"  21,364.16 ",-, - ,"  21,362.07 ",Small Cap
343,CreditAccess Grameen Ltd.,INE741K01010,CREDITACC,"  21,268.38 ",CREDITACC,"  21,265.92 ",-, - ,"  21,267.15 ",Small Cap
344,Urban Company Limited,INE0CAZ01013,URBANCO,"  21,168.92 ",URBANCO,"  21,100.70 ",-, - ,"  21,134.81 ",Small Cap
345,JSW Holdings Limited,INE824G01012,JSWHL,"  21,053.46 ",JSWHL,"  21,062.70 ",-, - ,"  21,058.08 ",Small Cap
346,PUNJAB & SIND BANK,INE608A01012,PSB,"  21,026.53 ",PSB,"  21,025.18 ",-, - ,"  21,025.85 ",Small Cap
347,Onesource Specialty Pharma Limited,INE013P01021,ONESOURCE,"  20,904.41 ",ONESOURCE,"  20,905.79 ",-, - ,"  20,905.10 ",Small Cap
348,KALPATARU PROJECTS INTERNATIONAL LIMITED,INE220B01022,KPIL,"  20,879.38 ",KPIL,"  20,884.64 ",-, - ,"  20,882.01 ",Small Cap
349,Ather Energy Limited,INE0LEZ01016,ATHERENERG,"  20,851.53 ",ATHERENERG,"  20,750.02 ",-, - ,"  20,800.78 ",Small Cap
350,Sundram Fasteners Ltd.,INE387A01021,SUNDRMFAST,"  20,686.04 ",SUNDRMFAST,"  20,688.06 ",-, - ,"  20,687.05 ",Small Cap
351,ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,ABREL,"  20,443.24 ",ABREL,"  20,445.32 ",-, - ,"  20,444.28 ",Small Cap
352,Ola Electric Mobility Limited,INE0LXG01040,OLAELEC,"  20,391.20 ",OLAELEC,"  20,390.01 ",-, - ,"  20,390.60 ",Small Cap
353,Chalet Hotels Limited,INE427F01016,CHALET,"  20,367.89 ",CHALET,"  20,365.35 ",-, - ,"  20,366.62 ",Small Cap
